Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20220204;24;20500;19568,425
20220205;1;18551;18518,988
20220205;2;17769;17862,788
20220205;3;17291;17423,938
20220205;4;17219;17280,575
20220205;5;17310;17332,85
20220205;6;17502;17568,925
20220205;7;18675;18431,638
20220205;8;19610;19185,875
20220205;9;20796;20375,863
20220205;10;21424;21161,15
20220205;11;21755;21645,213
20220205;12;21808;22005,05
20220205;13;21514;21985,138
20220205;14;21541;21489,163
20220205;15;20781;20949,425
20220205;16;20537;20774,9
20220205;17;21603;21098,375
20220205;18;21827;22011,425
20220205;19;21783;21843,25
20220205;20;21498;21606,175
20220205;21;20938;20904,1
20220205;22;19862;19681,588
20220205;23;18906;18739,088
20220205;24;17812;17615,763
20220206;1;16790;16617,55
20220206;2;16100;15965,725
20220206;3;15607;15627,0
20220206;4;15457;15432,713
20220206;5;15507;15506,875
20220206;6;15840;15661,213
20220206;7;16300;15966,263
20220206;8;16652;16144,638
20220206;9;18089;16928,388
20220206;10;19188;17825,525
20220206;11;19679;18498,238
20220206;12;19938;19191,363
20220206;13;20102;19428,588
20220206;14;20313;19638,038
20220206;15;19939;19361,488
20220206;16;19569;18928,075
20220206;17;20517;18993,013
20220206;18;20826;19829,113
20220206;19;20861;20031,063
20220206;20;20844;19992,663
20220206;21;20556;19559,925
20220206;22;19678;18619,863
20220206;23;18971;18148,425
20220206;24;17926;17108,75
20220207;1;16908;16335,613
20220207;2;16400;16141,05
20220207;3;16200;16064,663
20220207;4;16300;16077,2
20220207;5;17050;16428,475
20220207;6;19000;17558,275
20220207;7;22100;20580,175
20220207;8;23850;22652,525
20220207;9;24950;23967,025
20220207;10;25200;24304,65
20220207;11;25550;24387,313
20220207;12;25750;24818,3
20220207;13;26050;24851,788
20220207;14;26200;24765,425
20220207;15;25500;24290,363
20220207;16;25200;24177,725
20220207;17;25550;24213,463
20220207;18;25600;24903,163
20220207;19;25300;24707,225
20220207;20;25350;24518,388
20220207;21;24900;23788,175
20220207;22;23750;22342,788
20220207;23;22000;20932,45
20220207;24;20850;19595,513
20220208;1;19308;18696,113
20220208;2;18600;18092,15
20220208;3;18200;17865,275
20220208;4;18250;17761,125
20220208;5;18800;18250,438
20220208;6;20250;18813,25
20220208;7;23050;21213,613
20220208;8;24450;23147,763
20220208;9;25050;24263,225
20220208;10;25100;24593,175
20220208;11;25150;24290,413
20220208;12;25350;24672,813
20220208;13;25550;25095,45
20220208;14;25700;25133,725
20220208;15;25100;24935,563
20220208;16;24800;24665,738
20220208;17;25150;24416,7
20220208;18;25200;24936,475
20220208;19;24900;24585,425
20220208;20;24950;24451,925
20220208;21;24500;23790,363
20220208;22;23350;22272,738
20220208;23;21600;20852,963
20220208;24;20450;19708,75
20220209;1;19308;18708,65
20220209;2;18600;18178,1
20220209;3;18200;17690,188
20220209;4;18250;17835,788
20220209;5;18800;18237,438
20220209;6;20100;19109,163
20220209;7;22750;21566,588
20220209;8;24100;23034,138
20220209;9;24700;23878,163
20220209;10;24700;24353,1
20220209;11;24900;24424,5
20220209;12;25050;24648,425
20220209;13;25250;24839,525
20220209;14;25400;24987,65
20220209;15;24950;24618,5
20220209;16;24600;24252,063
20220209;17;25050;24184,288
20220209;18;25200;24773,938
20220209;19;24850;24542,888
20220209;20;24750;24407,175
20220209;21;24200;23711,175
20220209;22;23100;22273,413
20220209;23;21450;20705,275
20220209;24;20300;19356,2
20220210;1;19108;18379,925
20220210;2;18400;17845,825
20220210;3;18000;17472,238
20220210;4;18050;17610,5
20220210;5;18500;17992,9
20220210;6;19600;18722,55
20220210;7;22350;21122,625
20220210;8;24000;22609,013
20220210;9;24800;23619,713
20220210;10;24800;23938,638
20220210;11;24800;23822,413
20220210;12;24950;24099,175
20220210;13;25150;24275,15
20220210;14;25300;24158,263
20220210;15;24750;24051,675
20220210;16;24400;24041,513
20220210;17;24950;24132,825
20220210;18;25200;24623,538
20220210;19;24850;24591,25
20220210;20;24750;24514,9
20220210;21;24200;23847,063
20220210;22;23100;22386,6
20220210;23;21450;21014,125
20220210;24;20300;19740,838
20220211;1;19100;18709,788
20220211;2;18450;18046,05
20220211;3;18000;17755,025
20220211;4;18050;17822,113
20220211;5;18750;18188,65
